step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
880 1.704648e+00 2 9.888936e-05 1.254380e-11 2.371184e-15
890 1.722913e+00 2 9.670654e-05 1.221279e-11 2.340354e-15
900 1.741157e+00 2 9.437840e-05 1.316457e-11 2.310780e-15
910 1.759379e+00 2 9.209139e-05 1.219759e-11 2.283683e-15
920 1.777580e+00 2 8.987133e-05 1.170691e-11 2.255487e-15
930 1.795759e+00 2 8.770951e-05 1.316400e-11 2.229280e-15
940 1.813916e+00 2 8.559286e-05 1.418260e-11 2.202954e-15
950 1.832052e+00 2 8.744798e-05 1.301437e-11 2.179032e-15
960 1.850167e+00 1 9.969920e-05 1.432976e-11 2.155198e-15
970 1.868263e+00 1 9.900072e-05 1.395670e-11 2.131772e-15
980 1.886340e+00 2 8.815416e-05 1.416456e-11 2.110478e-15
990 1.904398e+00 2 8.827044e-05 1.454530e-11 2.088719e-15
1000 1.922438e+00 1 9.808276e-05 1.504882e-11 2.068052e-15
1010 1.940460e+00 1 9.945371e-05 1.595919e-11 2.048616e-15
1020 1.958465e+00 1 9.669113e-05 1.540382e-11 2.028894e-15
1030 1.976453e+00 1 9.912273e-05 1.705092e-11 2.010790e-15
1040 1.994426e+00 1 9.782989e-05 1.568928e-11 1.992922e-15
1050 2.012382e+00 1 9.565429e-05 1.515572e-11 1.975128e-15
1060 2.030322e+00 1 9.980412e-05 1.615055e-11 1.958596e-15
1070 2.048247e+00 1 9.955740e-05 1.558216e-11 1.941996e-15
1080 2.066157e+00 1 9.576941e-05 1.510517e-11 1.926144e-15
1090 2.084053e+00 2 8.843702e-05 1.445302e-11 1.911087e-15
1100 2.101934e+00 2 8.903712e-05 1.395208e-11 1.896081e-15
1110 2.119801e+00 1 9.968997e-05 1.346938e-11 1.881533e-15
1120 2.137655e+00 1 9.427025e-05 1.300562e-11 1.867085e-15
1130 2.155495e+00 1 9.757033e-05 1.256174e-11 1.853466e-15
1140 2.173322e+00 1 9.748265e-05 1.213445e-11 1.840084e-15
1150 2.191137e+00 1 9.644006e-05 1.212924e-11 2.643592e-15
1160 2.208938e+00 2 8.819403e-05 1.173522e-11 2.625856e-15
1170 2.226728e+00 1 9.537573e-05 1.135232e-11 2.607910e-15
1180 2.244505e+00 1 9.492626e-05 1.098621e-11 2.590915e-15
1190 2.262271e+00 1 9.450803e-05 1.063348e-11 2.574062e-15
1200 2.280025e+00 1 9.907454e-05 1.029564e-11 2.558328e-15
1210 2.297768e+00 1 9.433420e-05 9.968049e-12 2.541982e-15
1220 2.315500e+00 1 9.688865e-05 9.654249e-12 2.526704e-15
1230 2.333220e+00 1 9.694692e-05 9.351743e-12 2.511589e-15
1240 2.350930e+00 1 9.589406e-05 9.060102e-12 2.496693e-15
1250 2.368630e+00 1 9.440340e-05 8.778914e-12 2.482037e-15
1260 2.386318e+00 1 9.275691e-05 8.507784e-12 2.467627e-15
1270 2.403996e+00 1 9.106816e-05 8.246333e-12 2.453467e-15
1280 2.421663e+00 1 8.937922e-05 7.994197e-12 2.439560e-15
1290 2.439319e+00 1 8.770299e-05 7.751030e-12 2.425904e-15
1300 2.456964e+00 1 8.604124e-05 7.516496e-12 2.412501e-15
1310 2.474599e+00 1 8.439220e-05 7.290276e-12 2.399351e-15
1320 2.492223e+00 1 8.275368e-05 6.990307e-12 3.929273e-15
1330 2.509836e+00 1 8.112525e-05 6.796401e-12 3.907382e-15
1340 2.527438e+00 1 7.950360e-05 6.610422e-12 3.885922e-15
1350 2.545030e+00 1 7.788769e-05 6.432102e-12 3.864891e-15
1360 2.562611e+00 1 7.627782e-05 6.261181e-12 3.844284e-15
1370 2.580181e+00 1 7.467471e-05 6.097408e-12 3.824097e-15
1380 2.597740e+00 1 7.307932e-05 6.082860e-12 3.807105e-15
1390 2.615289e+00 1 7.149280e-05 5.783294e-12 3.784035e-15
1400 2.632827e+00 1 6.991643e-05 5.641362e-12 3.765054e-15
1410 2.650354e+00 1 6.835157e-05 5.505657e-12 3.746472e-15
1420 2.667870e+00 1 6.679965e-05 5.375966e-12 3.728284e-15
1430 2.685376e+00 1 6.526210e-05 5.252081e-12 3.710484e-15
1440 2.702870e+00 1 6.374034e-05 5.133802e-12 3.693067e-15
1450 2.720355e+00 1 6.223580e-05 5.020931e-12 3.676027e-15
1460 2.737828e+00 1 6.074986e-05 4.913278e-12 3.659357e-15
1470 2.755291e+00 1 5.928385e-05 4.810656e-12 3.643052e-15
1480 2.772743e+00 1 5.783905e-05 4.712883e-12 3.627105e-15
1490 2.790184e+00 1 5.641669e-05 4.619782e-12 3.611511e-15
1500 2.807614e+00 1 5.501795e-05 4.531180e-12 3.596263e-15
1510 2.825034e+00 1 5.364394e-05 4.446906e-12 3.581354e-15
