step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
630 8.632659e-05 3.466223e-03 3.435763e-03 5.044329e-03 3.412074e+00 4.549432e+04
640 8.632856e-05 3.587119e-03 3.486006e-03 5.145028e-03 3.387396e+00 4.516528e+04
650 8.633056e-05 3.708602e-03 3.537795e-03 5.241403e-03 3.362511e+00 4.483348e+04
660 8.633258e-05 3.830667e-03 3.591153e-03 5.333478e-03 3.337437e+00 4.449916e+04
670 8.633462e-05 3.953320e-03 3.646103e-03 5.421295e-03 3.312192e+00 4.416256e+04
680 8.633668e-05 4.076565e-03 3.702668e-03 5.504902e-03 3.286795e+00 4.382393e+04
690 8.633877e-05 4.200350e-03 3.760831e-03 5.584337e-03 3.261280e+00 4.348373e+04
700 8.634087e-05 4.324577e-03 3.820570e-03 5.659596e-03 3.235683e+00 4.314243e+04
710 8.634300e-05 4.449238e-03 3.881905e-03 5.730740e-03 3.210018e+00 4.280025e+04
720 8.634515e-05 4.574335e-03 3.944857e-03 5.797846e-03 3.184303e+00 4.245737e+04
730 8.634732e-05 4.699870e-03 4.009448e-03 5.860994e-03 3.158550e+00 4.211400e+04
740 8.634951e-05 4.825843e-03 4.075700e-03 5.920262e-03 3.132773e+00 4.177030e+04
750 8.635172e-05 4.952255e-03 4.143639e-03 5.975731e-03 3.106984e+00 4.142645e+04
760 8.635395e-05 5.079102e-03 4.213291e-03 6.027476e-03 3.081196e+00 4.108261e+04
770 8.635620e-05 5.206385e-03 4.284683e-03 6.075579e-03 3.055418e+00 4.073891e+04
780 8.635848e-05 5.334104e-03 4.357843e-03 6.120120e-03 3.029662e+00 4.039550e+04
790 8.636078e-05 5.462259e-03 4.432802e-03 6.161181e-03 3.003937e+00 4.005250e+04
800 8.636310e-05 5.590852e-03 4.509591e-03 6.198846e-03 2.978252e+00 3.971002e+04
810 8.636544e-05 5.719889e-03 4.588244e-03 6.233201e-03 2.952615e+00 3.936819e+04
820 8.636780e-05 5.849378e-03 4.668794e-03 6.264335e-03 2.927033e+00 3.902711e+04
830 8.637018e-05 5.979329e-03 4.751278e-03 6.292338e-03 2.901515e+00 3.868686e+04
840 8.637259e-05 6.109755e-03 4.835731e-03 6.317302e-03 2.876066e+00 3.834755e+04
850 8.637502e-05 6.240670e-03 4.922192e-03 6.339320e-03 2.850695e+00 3.800926e+04
860 8.637747e-05 6.372052e-03 5.010667e-03 6.358487e-03 2.825415e+00 3.767220e+04
870 8.637994e-05 6.503845e-03 5.101153e-03 6.374877e-03 2.800244e+00 3.733658e+04
880 8.638244e-05 6.636044e-03 5.193687e-03 6.388568e-03 2.775186e+00 3.700248e+04
890 8.638495e-05 6.768654e-03 5.288308e-03 6.399641e-03 2.750247e+00 3.666995e+04
900 8.638748e-05 6.901673e-03 5.385056e-03 6.408171e-03 2.725429e+00 3.633905e+04
910 8.639003e-05 7.035099e-03 5.483974e-03 6.414234e-03 2.700737e+00 3.600983e+04
920 8.639260e-05 7.168932e-03 5.585105e-03 6.417903e-03 2.676174e+00 3.568232e+04
930 8.639519e-05 7.303162e-03 5.688492e-03 6.419243e-03 2.651743e+00 3.535657e+04
940 8.639780e-05 7.437785e-03 5.794183e-03 6.418321e-03 2.627447e+00 3.503262e+04
