step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
630 6.009784e-02 2.491906e-02 1.549452e-01 4.583512e-04 3.835998e-01 5.114664e+03
640 6.107836e-02 2.497191e-02 1.549261e-01 4.593799e-04 3.836234e-01 5.114979e+03
650 6.205952e-02 2.502411e-02 1.549070e-01 4.603968e-04 3.836470e-01 5.115294e+03
660 6.304131e-02 2.507565e-02 1.548879e-01 4.614020e-04 3.836707e-01 5.115609e+03
670 6.402375e-02 2.512657e-02 1.548688e-01 4.623959e-04 3.836943e-01 5.115925e+03
680 6.500683e-02 2.517687e-02 1.548497e-01 4.633787e-04 3.837180e-01 5.116240e+03
690 6.599055e-02 2.522657e-02 1.548306e-01 4.643506e-04 3.837417e-01 5.116556e+03
700 6.697493e-02 2.527567e-02 1.548115e-01 4.653120e-04 3.837653e-01 5.116871e+03
710 6.795995e-02 2.532420e-02 1.547924e-01 4.662629e-04 3.837890e-01 5.117187e+03
720 6.894563e-02 2.537217e-02 1.547733e-01 4.672037e-04 3.838127e-01 5.117503e+03
730 6.993197e-02 2.541958e-02 1.547542e-01 4.681346e-04 3.838364e-01 5.117819e+03
740 7.091896e-02 2.546645e-02 1.547351e-01 4.690558e-04 3.838601e-01 5.118135e+03
750 7.190662e-02 2.551280e-02 1.547160e-01 4.699675e-04 3.838838e-01 5.118451e+03
760 7.289493e-02 2.555864e-02 1.546969e-01 4.708700e-04 3.839076e-01 5.118767e+03
770 7.388391e-02 2.560397e-02 1.546777e-01 4.717635e-04 3.839313e-01 5.119084e+03
780 7.487356e-02 2.564881e-02 1.546586e-01 4.726481e-04 3.839550e-01 5.119400e+03
790 7.586388e-02 2.569317e-02 1.546395e-01 4.735242e-04 3.839788e-01 5.119717e+03
800 7.685487e-02 2.573707e-02 1.546204e-01 4.743919e-04 3.840025e-01 5.120034e+03
810 7.784654e-02 2.578050e-02 1.546012e-01 4.752514e-04 3.840263e-01 5.120351e+03
820 7.883888e-02 2.582350e-02 1.545821e-01 4.761028e-04 3.840501e-01 5.120668e+03
830 7.983191e-02 2.586605e-02 1.545629e-01 4.769466e-04 3.840739e-01 5.120985e+03
840 8.082561e-02 2.590819e-02 1.545438e-01 4.777827e-04 3.840977e-01 5.121302e+03
850 8.182000e-02 2.594991e-02 1.545246e-01 4.786114e-04 3.841215e-01 5.121619e+03
860 8.281508e-02 2.599123e-02 1.545055e-01 4.794329e-04 3.841453e-01 5.121937e+03
870 8.381084e-02 2.603215e-02 1.544863e-01 4.802473e-04 3.841691e-01 5.122255e+03
880 8.480730e-02 2.607270e-02 1.544671e-01 4.810550e-04 3.841929e-01 5.122572e+03
890 8.580445e-02 2.611287e-02 1.544480e-01 4.818559e-04 3.842168e-01 5.122890e+03
900 8.680230e-02 2.615267e-02 1.544288e-01 4.826504e-04 3.842406e-01 5.123208e+03
910 8.780085e-02 2.619213e-02 1.544096e-01 4.834386e-04 3.842645e-01 5.123527e+03
920 8.880010e-02 2.623124e-02 1.543904e-01 4.842206e-04 3.842884e-01 5.123845e+03
930 8.980006e-02 2.627001e-02 1.543712e-01 4.849967e-04 3.843123e-01 5.124163e+03
940 9.080072e-02 2.630846e-02 1.543520e-01 4.857670e-04 3.843362e-01 5.124482e+03
950 9.180210e-02 2.634660e-02 1.543328e-01 4.865316e-04 3.843601e-01 5.124801e+03
960 9.280418e-02 2.638443e-02 1.543136e-01 4.872908e-04 3.843840e-01 5.125120e+03
970 9.380698e-02 2.642195e-02 1.542944e-01 4.880447e-04 3.844079e-01 5.125439e+03
980 9.481050e-02 2.645919e-02 1.542752e-01 4.887934e-04 3.844319e-01 5.125758e+03
990 9.581474e-02 2.649615e-02 1.542560e-01 4.895372e-04 3.844558e-01 5.126077e+03
1000 9.681969e-02 2.653284e-02 1.542368e-01 4.902761e-04 3.844798e-01 5.126397e+03
1010 9.782538e-02 2.656926e-02 1.542175e-01 4.910103e-04 3.845037e-01 5.126717e+03
1020 9.883179e-02 2.660543e-02 1.541983e-01 4.917400e-04 3.845277e-01 5.127036e+03
1030 9.983893e-02 2.664135e-02 1.541790e-01 4.924654e-04 3.845517e-01 5.127356e+03
